annee_pegi_duree,casting_principal,description,genre,langue,nombre_vote,pays,score,titre
"1994,R,2h 22m","Tim Robbins,Morgan Freeman,Bob Gunton,William Sadler,Clancy Brown,Gil Bellows,Mark Rolston,James Whitmore,Jeffrey DeMunn,Larry Brandenburg,Neil Giuntoli,Brian Libby,David Proval,Joseph Ragno,Jude Ciccolella,Paul McCrane,Renee Blaine,Scott Mann","Over the course of several years, two convicts form a friendship, seeking consolation and, eventually, redemption through basic compassion.",Drama,English,2.9M,United States,9.3,The Shawshank Redemption
"1972,R,2h 55m","Marlon Brando,Al Pacino,James Caan,Diane Keaton,Richard S. Castellano,Robert Duvall,Sterling Hayden,John Marley,Richard Conte,Al Lettieri,Abe Vigoda,Talia Shire,Gianni Russo,John Cazale,Rudy Bond,Al Martino,Morgana King,Lenny Montana",The aging patriarch of an organized crime dynasty transfers control of his clandestine empire to his reluctant son.,"Crime,Drama","English,Italian,Latin",2M,United States,9.2,The Godfather
"2008,PG-13,2h 32m","Christian Bale,Heath Ledger,Aaron Eckhart,Michael Caine,Maggie Gyllenhaal,Gary Oldman,Morgan Freeman,Monique Gabriela Curnen,Ron Dean,Cillian Murphy,Chin Han,Nestor Carbonell,Eric Roberts,Ritchie Coster,Anthony Michael Hall,Keith Szarabajka,Colin McFarlane,Joshua Harto","When the menace known as the Joker wreaks havoc and chaos on the people of Gotham, Batman must accept one of the greatest psychological and physical tests of his ability to fight injustice.","Action,Crime,Drama","English,Mandarin",2.9M,"United States,United Kingdom",9.0,The Dark Knight
"1974,R,3h 22m","Al Pacino,Robert De Niro,Robert Duvall,Diane Keaton,John Cazale,Talia Shire,Lee Strasberg,Michael V. Gazzo,G.D. Spradlin,Richard Bright,Gastone Moschin,Tom Rosqui,Bruno Kirby,Frank Sivero,Francesca De Sapio,Morgana King,Marianna Hill,Leopoldo Trieste","The early life and career of Vito Corleone in 1920s New York City is portrayed, while his son, Michael, expands and tightens his grip on the family crime syndicate.","Crime,Drama","English,Italian,Spanish,Latin,Sicilian",1.4M,United States,9.0,The Godfather Part II
"1957,Approved,1h 36m","Henry Fonda,Lee J. Cobb,Martin Balsam,John Fiedler,E.G. Marshall,Jack Klugman,Edward Binns,Jack Warden,Joseph Sweeney,Ed Begley,George Voskovec,Robert Webber,Rudy Bond,Tom Gorman,James Kelly,Billy Nelson,John Savoca,Walter Stocker",The jury in a New York City murder trial is frustrated by a single member whose skeptical caution forces them to more carefully consider the evidence before jumping to a hasty verdict.,"Crime,Drama",English,858K,United States,9.0,12 Angry Men
"1993,R,3h 15m","Liam Neeson,Ralph Fiennes,Ben Kingsley,Caroline Goodall,Jonathan Sagall,Embeth Davidtz,Malgorzata Gebel,Shmuel Levy,Mark Ivanir,Béatrice Macola,Andrzej Seweryn,Friedrich von Thun,Krzysztof Luft,Harry Nehring,Norbert Weisser,Adi Nitzan,Michael Schneider,Miri Fabian","In German-occupied Poland during World War II, industrialist Oskar Schindler gradually becomes concerned for his Jewish workforce after witnessing their persecution by the Nazis.","Biography,Drama,History","English,Hebrew,German,Polish,Latin",1.4M,United States,9.0,Schindler's List
"2003,PG-13,3h 21m","Elijah Wood,Viggo Mortensen,Ian McKellen,Orlando Bloom,Noel Appleby,Ali Astin,Sean Astin,David Aston,John Bach,Sean Bean,Cate Blanchett,Billy Boyd,Sadwyn Brophy,Alistair Browning,Marton Csokas,Richard Edge,Jason Fitch,Bernard Hill",Gandalf and Aragorn lead the World of Men against Sauron's army to draw his gaze from Frodo and Sam as they approach Mount Doom with the One Ring.,"Action,Adventure,Drama","English,Quenya,Old English,Sindarin",2M,"New Zealand,United States",9.0,The Lord of the Rings: The Return of the King
"1994,R,2h 34m","John Travolta,Uma Thurman,Samuel L. Jackson,Bruce Willis,Tim Roth,Amanda Plummer,Laura Lovelace,Phil LaMarr,Frank Whaley,Burr Steers,Ving Rhames,Paul Calderon,Bronagh Gallagher,Rosanna Arquette,Eric Stoltz,Jerome Patrick Hoban,Michael Gilden,Gary Shorelle","The lives of two mob hitmen, a boxer, a gangster and his wife, and a pair of diner bandits intertwine in four tales of violence and redemption.","Crime,Drama","English,Spanish,French",2.2M,United States,8.9,Pulp Fiction
"1959,Not Rated,1h 39m","Jean-Pierre Léaud,Albert Rémy,Claire Maurier,Guy Decomble,Georges Flamant,Patrick Auffay,Daniel Couturier,François Nocher,Richard Kanayan,Renaud Fontanarosa,Michel Girard,Serge Moati,Bernard Abbou,Jean-François Bergouignan,Michel Lesignor,Luc Andrieux,Robert Beauvais,Bouchon","A young boy, left without attention, delves into a life of petty crime.","Crime,Drama","French,English",128K,France,8.1,The 400 Blows
"annee, pegi, duree inconnu",casting inconnu,description inconnu,genre inconnu,langue inconnu,vote inconnu,pays inconnu,score inconnu,titre inconnu
